source_id,source_type,video_id,parent_id,is_reply,author,text,like_count,public,clean_text,entities,sentiment_score,sentiment,keywords,chunk_index,start_time,noun_phrases
UgyySGMqY0cmd-2mU2V4AaABAg,comment,Y8yTY_7w3KA,,False,@austintandoc8187,"1:29 that sounds so comforting & magical not scary. A unique choice for a pedestrian sound warning which I find beautiful 😊
Also the Seal (which I hope can come to Canada) is way better than the old & “refreshed” model 3.",0.0,True,1:29 that sounds so comforting & magical not scary. A unique choice for a pedestrian sound warning which I find beautiful 😊 Also the Seal (which I hope can come to Canada) is way better than the old & “refreshed” model 3.,['Canada'],0.9608,Positive,"['29', 'choice', 'sounds', 'old', 'way']",,,
UgywcNDKSwbJZsu9oyt4AaABAg,comment,Y8yTY_7w3KA,,False,@gustavoantoniocoloradoherr156,que lux ............,0.0,True,que lux ............,[],0.0,Neutral,[],,,
Ugw3l8pCOmI4SXjJgB54AaABAg,comment,Y8yTY_7w3KA,,False,@gustavoantoniocoloradoherr156,que lux .........,0.0,True,que lux .........,[],0.0,Neutral,[],,,
UgyGER-S3ksXJOE5g1V4AaABAg,comment,Y8yTY_7w3KA,,False,@jamesdawson3123,"Great car, terrible name😆",0.0,True,"Great car, terrible name😆",[],0.5423,Positive,"['great car', 'great', 'car']",,,
UgxKl5ImLGdhaTl6yGV4AaABAg,comment,Y8yTY_7w3KA,,False,@jamesdawson3123,Does that outside chime always play at low speed or can you switch it off? That would drive me crazy,0.0,True,Does that outside chime always play at low speed or can you switch it off? That would drive me crazy,[],-0.2732,Negative,"['outside', 'play', 'low speed', 'speed', 'drive']",,,
UgxKl5ImLGdhaTl6yGV4AaABAg.A9Pfk0bH-mEA9PfpUjShxk,comment,Y8yTY_7w3KA,UgxKl5ImLGdhaTl6yGV4AaABAg,True,@autogefuehl,"you can switch what the sound is, but it is mandatory by law to play something",0.0,True,"you can switch what the sound is, but it is mandatory by law to play something",[],0.5499,Positive,"['play', 'sound']",,,
UgyeG4uZ7LOLWmGX4yt4AaABAg,comment,Y8yTY_7w3KA,,False,@Jonse70,"So autogefühl...
I respect you guys a lot. Giving this open review knowing that the German automobile industry is being killed by this company. 😊",0.0,True,So autogefühl... I respect you guys a lot. Giving this open review knowing that the German automobile industry is being killed by this company. 😊,['German'],0.7402,Positive,"['industry', 'giving', 'german', 'company', 'lot']",,,
UgwSONPopez-I5JDkVl4AaABAg,comment,Y8yTY_7w3KA,,False,@BhupendraBabuItani,Wow that's amazing 😍🤩,0.0,True,Wow that's amazing 😍🤩,[],0.891,Positive,[],,,
UgyMNQns2ZsivPlpPpd4AaABAg,comment,Y8yTY_7w3KA,,False,@Rick9482,"Not for me!
The Seal looks nice and may be competitive with Tesla but my Tesla is the fastest, safest car in class. It gets regular software updates and has that fantastic supercharger network.
Bottom line for me, it works great and meets my needs.

BYD still has a lot to prove and I doubt it will be available in the US anyway.",0.0,True,"Not for me! The Seal looks nice and may be competitive with Tesla but my Tesla is the fastest, safest car in class. It gets regular software updates and has that fantastic supercharger network. Bottom line for me, it works great and meets my needs. BYD still has a lot to prove and I doubt it will be available in the US anyway.",['Tesla'],0.937,Positive,"['tesla', 'looks nice', 'gets', 'fantastic', 'competitive']",,,
Ugydd3xvC7bTsJMq8hl4AaABAg,comment,Y8yTY_7w3KA,,False,@vembrace,The interior puts the Model 3 to shame.,0.0,True,The interior puts the Model 3 to shame.,['the Model 3'],-0.4767,Negative,"['shame', 'interior', 'model']",,,
UgyTn725gaMgGQbiaft4AaABAg,comment,Y8yTY_7w3KA,,False,@Mailme81,"For me it came down to the Seal Performance or the Tesla Model 3 Performance. The Long range doesnt compare with its basic seats and lesser performance. 
The BYD simply is the nicer car to sit in, more features. I just dont think you can be honest with yourself and accept no indicator stalks, gear lever and not being able to see the speedometer without looking at the middle of the dash - this is just madness to have not included at least a HUD.",1.0,True,"For me it came down to the Seal Performance or the Tesla Model 3 Performance. The Long range doesnt compare with its basic seats and lesser performance. The BYD simply is the nicer car to sit in, more features. I just dont think you can be honest with yourself and accept no indicator stalks, gear lever and not being able to see the speedometer without looking at the middle of the dash - this is just madness to have not included at least a HUD.","['Model 3 Performance', 'BYD', 'HUD']",0.5719,Positive,"['performance', 'just', 'middle', 'long range', 'doesnt']",,,
UgxFE9yPoSq21TA-mWF4AaABAg,comment,Y8yTY_7w3KA,,False,@carlosorff,"Much better looking interior, seats, especially the doors and buttons, shift lever, and stalk. If they made one as a five-door hatch, it would be great as well. The Chinese are not trying to reinvent the wheel and are listening to the customers instead of teaching them new things. Different philosophies.I would expect the opposit from the Chinese...",0.0,True,"Much better looking interior, seats, especially the doors and buttons, shift lever, and stalk. If they made one as a five-door hatch, it would be great as well. The Chinese are not trying to reinvent the wheel and are listening to the customers instead of teaching them new things. Different philosophies.I would expect the opposit from the Chinese...",['Chinese'],0.8442,Positive,"['chinese', 'especially', 'different', 'wheel', 'better looking']",,,
UgxEWpnV5-novB8RBk14AaABAg,comment,Y8yTY_7w3KA,,False,@bananarepublic8951,"BYD comes with Android auto & apple car play, HUD, physical buttons, long range, much better quality build, better tech, Lidar system it is easy choice",0.0,True,"BYD comes with Android auto & apple car play, HUD, physical buttons, long range, much better quality build, better tech, Lidar system it is easy choice","['Android', 'HUD', 'Lidar']",0.8779,Positive,"['better', 'long range', 'play', 'choice', 'android auto']",,,
UgzzS13yfe3fdt1LbI14AaABAg,comment,Y8yTY_7w3KA,,False,@CThienV,Please review the rwd version,1.0,True,Please review the rwd version,[],0.3182,Positive,"['version', 'review']",,,
UgyPrqT2iT-unNtIv3N4AaABAg,comment,Y8yTY_7w3KA,,False,@Obizzy8,"Thanks for great review, will you make one for the BYD HAN as well?",0.0,True,"Thanks for great review, will you make one for the BYD HAN as well?",['the BYD HAN'],0.8442,Positive,"['thanks', 'make', 'great', 'review', 'byd']",,,
UgyPrqT2iT-unNtIv3N4AaABAg.A3H-_JPC4xuA3HiMRz3pRC,comment,Y8yTY_7w3KA,UgyPrqT2iT-unNtIv3N4AaABAg,True,@autogefuehl,Thanks! Feel free to share / recommend :-) We ll see what we ca do !,1.0,True,Thanks! Feel free to share / recommend :-) We ll see what we ca do !,[],0.915,Positive,"['share', 'feel', 'free', 'thanks']",,,
UgzVOgpRqdAKlbtX_qd4AaABAg,comment,Y8yTY_7w3KA,,False,@janverbanck,"In the back, a lot of EV's seem to lack proper leg support. They make you sit very low to create headroom but the leg angle gets too steep.",0.0,True,"In the back, a lot of EV's seem to lack proper leg support. They make you sit very low to create headroom but the leg angle gets too steep.",[],0.0478,Neutral,"['lack', 'proper', 'headroom', 'gets', 'support']",,,
UgznnxltUJJuNC6qNeF4AaABAg,comment,Y8yTY_7w3KA,,False,@PS-383,"Just saw this youtube video on BYD from an American living in China. Not a car review per se but thought this was interesting.
https://www.youtube.com/watch?v=QgmDiWfZJcI",0.0,True,Just saw this youtube video on BYD from an American living in China. Not a car review per se but thought this was interesting.,"['BYD', 'American', 'China']",0.5499,Positive,"['interesting', 'video', 'review', 'china', 'just']",,,
Ugw_phf4Q0h_CysDtad4AaABAg,comment,Y8yTY_7w3KA,,False,@diegosouza791,It's a shame that it's a shame that the car doesn't come with real leather seats,0.0,True,It's a shame that it's a shame that the car doesn't come with real leather seats,[],-0.7351,Negative,"['shame', 'come', 'real', 'doesn', 'leather']",,,
Ugw_phf4Q0h_CysDtad4AaABAg.A1mfuaFcO4vA1mip6VJs3N,comment,Y8yTY_7w3KA,Ugw_phf4Q0h_CysDtad4AaABAg,True,@autogefuehl,"Thank you very much for your interest in this topic. I also bought cars with animal skin leather seats before I did my research and got to know the industry. The most important thing is: With today's modern materials, you have nothing to lose, just to gain. You achieve the same kind of luxury and comfort or even better while having the same or better durability with less impact on humans, animals and the environment.

You can use fabric/cloth, microfibre or leatherette. The classic approach is using oil/plastic as source material. Overall, a vehicle contains about 300 kg plastic. A car seat needs about 5 kg plastic. So the overall plastic share for the seats is very low and it is at this moment the most efficient way to produce a car seat. A couple of litres of fuel equals a car seat basically. So if you want to save oil/plastic, rather look at consumption for energy, fuel and heating and to other car parts than the seat. Note that animal skin leather also always contains a plastic coating for durability. However, long-term we should of course find raw oil alternatives. So going further, seats can be made from recyclables (e.g. from PET-bottles or old fishing nets) or even increased share of plant-based materials (like pine oil, canola oil or start-up materials like Pinatex from pineapple leaves or Desertex from cactus fibre or the mixed-plant-based Mirum, so be seen at https://youtu.be/S1aNZeoatmE?t=525). On a calculation base, by ditching animal skin leather from car interiors, the amount of emissions (CO2e) is reduced by 85 (!) % (https://www.press.bmwgroup.com/africa-dom-easteurope/article/detail/T0403389EN/on-the-market-from-2023:-bmw-and-mini-models-with-vegan-interiors?language=en) - and that is a very conservative calculation. So it is at this moment the most important thing you can do to make car interiors more sustainable.

A good example for high-end luxury with ventilated animal free seats is the BMW X7 with Sensafin: https://youtu.be/1pRNkW9nrrw
And the Kia EV9 with plant-based oil share: https://youtu.be/6vXePQi_MAk
New leatherette materials can be superior in every aspect, even for cleaning: https://youtu.be/u94YXJ72UTA
More and more natural materials are rising: https://youtu.be/nRSsXEnwHDo

Also check out what the animal skin leather industry tried to with our channel: https://www.youtube.com/watch?v=nP_CvLlaFlI
For seeing how the animals are being treated and transported in the global leather industry, watch this footage: https://www.youtube.com/watch?v=tkjCAmq1_8E
Note that the footage is genuine and was recorded by a highly decorated investigative journalist in Germany I know myself personally.
Also a group of researchers and German journalists from public media could recent directly trace the connection between car animal leather production and illegal burning down Amazon rain forest: 
https://www.daserste.de/information/reportage-dokumentation/ard-story/videos/illegales-leder-video-100.html

In a high animal skin grade, the animals are specifically raised for this matter. However even if meat is the ""first"" misuse case, the hide remains a profitable body part. That means: If manufacturers put animal leather in a car and you demand it as a customer, you give your money to an industry that earns money by oppressing humans, animals and harms the environment, you make them more profitable. Alternatively, you could support industries with your wallet which try to improve the sustainability of materials. Also, if you turn the argument around to ""meat is the waste of the leather industry"" you realize that it doesn't make sense (and is ethically doubtful) to discuss the primary use of individual body parts of mammals. Mind experiment: You are getting slain down on the street; would it matter to you if it was for your smartphone or for your purse? Remember that animal skin leather is no different to fur, fur is just leather where the hair is still on. And fur is widely not accepted for clothing anymore, and of course not for cars.

We cannot change what we have bought in the past, but with more information and compassion we can change how we decide in the future.

For a great insight into sustainability in the automotive industry, you can also check out our extensive documentary:
https://youtu.be/-8gNXlRGngA",3.0,True,"Thank you very much for your interest in this topic. I also bought cars with animal skin leather seats before I did my research and got to know the industry. The most important thing is: With today's modern materials, you have nothing to lose, just to gain. You achieve the same kind of luxury and comfort or even better while having the same or better durability with less impact on humans, animals and the environment. You can use fabric/cloth, microfibre or leatherette. The classic approach is using oil/plastic as source material. Overall, a vehicle contains about 300 kg plastic. A car seat needs about 5 kg plastic. So the overall plastic share for the seats is very low and it is at this moment the most efficient way to produce a car seat. A couple of litres of fuel equals a car seat basically. So if you want to save oil/plastic, rather look at consumption for energy, fuel and heating and to other car parts than the seat. Note that animal skin leather also always contains a plastic coating for durability. However, long-term we should of course find raw oil alternatives. So going further, seats can be made from recyclables (e.g. from PET-bottles or old fishing nets) or even increased share of plant-based materials (like pine oil, canola oil or start-up materials like Pinatex from pineapple leaves or Desertex from cactus fibre or the mixed-plant-based Mirum, so be seen at On a calculation base, by ditching animal skin leather from car interiors, the amount of emissions (CO2e) is reduced by 85 (!) % ( - and that is a very conservative calculation. So it is at this moment the most important thing you can do to make car interiors more sustainable. A good example for high-end luxury with ventilated animal free seats is the BMW X7 with Sensafin: And the Kia EV9 with plant-based oil share: New leatherette materials can be superior in every aspect, even for cleaning: More and more natural materials are rising: Also check out what the animal skin leather industry tried to with our channel: For seeing how the animals are being treated and transported in the global leather industry, watch this footage: Note that the footage is genuine and was recorded by a highly decorated investigative journalist in Germany I know myself personally. Also a group of researchers and German journalists from public media could recent directly trace the connection between car animal leather production and illegal burning down Amazon rain forest: In a high animal skin grade, the animals are specifically raised for this matter. However even if meat is the ""first"" misuse case, the hide remains a profitable body part. That means: If manufacturers put animal leather in a car and you demand it as a customer, you give your money to an industry that earns money by oppressing humans, animals and harms the environment, you make them more profitable. Alternatively, you could support industries with your wallet which try to improve the sustainability of materials. Also, if you turn the argument around to ""meat is the waste of the leather industry"" you realize that it doesn't make sense (and is ethically doubtful) to discuss the primary use of individual body parts of mammals. Mind experiment: You are getting slain down on the street; would it matter to you if it was for your smartphone or for your purse? Remember that animal skin leather is no different to fur, fur is just leather where the hair is still on. And fur is widely not accepted for clothing anymore, and of course not for cars. We cannot change what we have bought in the past, but with more information and compassion we can change how we decide in the future. For a great insight into sustainability in the automotive industry, you can also check out our extensive documentary:","['PET', 'Pinatex', 'Desertex', 'Mirum', 'the BMW X7 with Sensafin', 'Germany', 'German', 'Amazon']",0.9857,Positive,"['animal', 'leather', 'materials', 'industry', 'animal skin']",,,
Ugw_phf4Q0h_CysDtad4AaABAg.A1mfuaFcO4vA1mn-1D536j,comment,Y8yTY_7w3KA,Ugw_phf4Q0h_CysDtad4AaABAg,True,@diegosouza791,"Thanks for your lecture.
I just don't like fake leather, the real deal is much nicer.
It could have as an option.",0.0,True,"Thanks for your lecture. I just don't like fake leather, the real deal is much nicer. It could have as an option.",[],0.7387,Positive,"['nicer', 'real', 'thanks', 'leather', 'don']",,,
UgyK10-D7z9CPDlfagN4AaABAg,comment,Y8yTY_7w3KA,,False,@shellyu1442,"Honestly the car is growing on me but that name, Seal is just the dumbest Fkni name. Chinese car companies really need to hire some marketing teams to come up with english branding names.

I mean they are already a fairly new company to come onto their perspective markets so that gives them little heritage… and giving nonsensical names like that just doesnt help their branding… just my IMO",0.0,True,"Honestly the car is growing on me but that name, Seal is just the dumbest Fkni name. Chinese car companies really need to hire some marketing teams to come up with english branding names. I mean they are already a fairly new company to come onto their perspective markets so that gives them little heritage… and giving nonsensical names like that just doesnt help their branding… just my IMO","['Seal', 'Fkni', 'Chinese', 'english', 'IMO']",-0.0084,Neutral,"['just', 'come', 'car', 'markets', 'giving']",,,
UgymsZK5SonBJMfSeIp4AaABAg,comment,Y8yTY_7w3KA,,False,@mrboogang,"Still 10 years behind Tesla.  Too many buttons, clunky interior and substandard software.  Pass.  Tesla is the standard in EVs.",1.0,True,"Still 10 years behind Tesla. Too many buttons, clunky interior and substandard software. Pass. Tesla is the standard in EVs.",['Tesla'],0.0,Neutral,"['tesla', 'software', 'years', 'buttons', 'interior']",,,
UgwHuYUm5IhvQi4eMyd4AaABAg,comment,Y8yTY_7w3KA,,False,@janvandevelde7947,Will you also review BYD Han?,0.0,True,Will you also review BYD Han?,['Han'],0.0,Neutral,"['review', 'byd']",,,
UgwHuYUm5IhvQi4eMyd4AaABAg.A1RyYLqPMLAA1SDVhQlHm7,comment,Y8yTY_7w3KA,UgwHuYUm5IhvQi4eMyd4AaABAg,True,@autogefuehl,lets see if we can organise that,0.0,True,lets see if we can organise that,[],0.0,Neutral,[],,,
UgyWBlSHo1JOHG-su3d4AaABAg,comment,Y8yTY_7w3KA,,False,@LLLLLLEON216,It’s just better in almost every single way.,0.0,True,It’s just better in almost every single way.,[],0.4404,Positive,"['way', 'better', 'just']",,,
Ugw4ep7Ss5qYo-vV-a14AaABAg,comment,Y8yTY_7w3KA,,False,@noah4088,"Great review my mate. I never know how excellent until I jump inside. I have to say that you probably dont trust this review coz some kind of discrimination, but go to your local dealer and give it go.",0.0,True,"Great review my mate. I never know how excellent until I jump inside. I have to say that you probably dont trust this review coz some kind of discrimination, but go to your local dealer and give it go.",[],-0.0772,Negative,"['review', 'kind', 'trust', 'say', 'know']",,,
UgxZ27M0QtUT-DSXdlV4AaABAg,comment,Y8yTY_7w3KA,,False,@Samer-sm6nf,BYD: Hold my Seal 🦭,1.0,True,BYD: Hold my Seal 🦭,[],0.0,Neutral,"['hold', 'seal', 'byd']",,,
UgyonDA0fSz3K4AWiB14AaABAg,comment,Y8yTY_7w3KA,,False,@MHWib-v7x,"I am planning to buy BYD Seal. I read an article from UK saying that when the car is passing rough surface road the driver can feel quite strong vibration on the steering wheel. Is that really the case, please kindly share your experience on this matter.",0.0,True,"I am planning to buy BYD Seal. I read an article from UK saying that when the car is passing rough surface road the driver can feel quite strong vibration on the steering wheel. Is that really the case, please kindly share your experience on this matter.",['BYD Seal'],0.8929,Positive,"['planning', 'road', 'quite', 'wheel', 'driver']",,,
Ugw0KlkZ_Y1-HpWTb1Z4AaABAg,comment,Y8yTY_7w3KA,,False,@albertwidiantoify,"which color the best for byd seal,  Aurora White or Atlantis Grey ?",0.0,True,"which color the best for byd seal, Aurora White or Atlantis Grey ?","['Aurora White', 'Atlantis Grey']",0.6597,Positive,"['best', 'byd seal', 'seal', 'byd']",,,
Ugwk3hG-cD92vrSAGs54AaABAg,comment,Y8yTY_7w3KA,,False,@joebrito2066,"Great video Thomas! Really ugly car. It really looks like a cheap Chinese product, well suited for Latin America, and emerging markets.",0.0,True,"Great video Thomas! Really ugly car. It really looks like a cheap Chinese product, well suited for Latin America, and emerging markets.","['Thomas', 'Chinese', 'Latin America']",0.6886,Positive,"['really', 'markets', 'america', 'video', 'product']",,,
UgxsELpVLjkuy4L1bqV4AaABAg,comment,Y8yTY_7w3KA,,False,@dexong1959,Interior color combination looks better than the grey and black option,0.0,True,Interior color combination looks better than the grey and black option,[],0.4767,Positive,"['black', 'looks better', 'interior', 'looks', 'better']",,,
UgwfsLphnpiIjwTzDWx4AaABAg,comment,Y8yTY_7w3KA,,False,@cez8017,"Piano-black everywhere. Seriously, is there anyone who thinks that this a good finish for a dashboard??? Scratches, fingerprints, visible dust.",0.0,True,"Piano-black everywhere. Seriously, is there anyone who thinks that this a good finish for a dashboard??? Scratches, fingerprints, visible dust.",[],0.4098,Positive,"['black', 'seriously', 'good']",,,
Ugxj7D98u-JxlodFTwx4AaABAg,comment,Y8yTY_7w3KA,,False,@Crawfish411-Vlog,I would buy this if sold in the U.S.,0.0,True,I would buy this if sold in the U.S.,['U.S.'],0.0,Neutral,"['sold', 'buy']",,,
UgzATp_H4Ml0W_f5-9x4AaABAg,comment,Y8yTY_7w3KA,,False,@datadps9142,It just entered Indonesia yesterday and I'm really considering to get one. But I still have some doubts on long term reliability because I an planning to keep it for at least 5 years.. Any experience with owning a BYD?,0.0,True,It just entered Indonesia yesterday and I'm really considering to get one. But I still have some doubts on long term reliability because I an planning to keep it for at least 5 years.. Any experience with owning a BYD?,"['Indonesia', 'BYD']",-0.4215,Negative,"['planning', 'experience', 'years', 'long term', 'term']",,,
UgxnlVlWB809qozkqal4AaABAg,comment,Y8yTY_7w3KA,,False,@Mav86asian,"If you hate cars, you hate the environment, but you love deforestation, uncontrolled mining, and mainland China…then this is the car for you.",0.0,True,"If you hate cars, you hate the environment, but you love deforestation, uncontrolled mining, and mainland China…then this is the car for you.",['China'],0.1531,Positive,"['love', 'cars', 'china', 'car']",,,
UgwQ8KsFzHRSUEMy6VF4AaABAg,comment,Y8yTY_7w3KA,,False,@januszciechowskiphotograph7297,"I doubt this it will succeed I think using Tesla super charge you can save a lot of money I watch one video recently where they compare Volkswagen, BYD and new model 3 and the difference was huge about 50% cheaper to charge Tesla",0.0,True,"I doubt this it will succeed I think using Tesla super charge you can save a lot of money I watch one video recently where they compare Volkswagen, BYD and new model 3 and the difference was huge about 50% cheaper to charge Tesla","['Tesla', 'Volkswagen', 'BYD']",0.8779,Positive,"['charge', 'tesla', 'super', 'video', 'cheaper']",,,
Ugzt-bd9LCXtLBeLanV4AaABAg,comment,Y8yTY_7w3KA,,False,@zanesmith666,i wanna see who the legs belong next to you,0.0,True,i wanna see who the legs belong next to you,[],0.0,Neutral,['legs'],,,
Ugx_J7F6ShJyrBE6EhR4AaABAg,comment,Y8yTY_7w3KA,,False,@georgetyy,"Absolutely love Thomas' review on cars!
Thomas, please review the Atto 3! :D",2.0,True,"Absolutely love Thomas' review on cars! Thomas, please review the Atto 3! :D","['Thomas', 'the Atto 3']",0.9083,Positive,"['thomas', 'review', 'love', 'cars']",,,
Ugx_J7F6ShJyrBE6EhR4AaABAg.9zVyEiX6N6l9zWnvYZwaAU,comment,Y8yTY_7w3KA,Ugx_J7F6ShJyrBE6EhR4AaABAg,True,@autogefuehl,Thanks 🙏 Seal U review soon!,0.0,True,Thanks 🙏 Seal U review soon!,[],0.4926,Positive,"['thanks', 'review', 'seal']",,,
Ugy-tm7zIPjGxobny0J4AaABAg,comment,Y8yTY_7w3KA,,False,@Lucas-vd2gx,Only a crazy person would pick a BYD instead of a Tesla. All other EV companies are still behind Tesla,0.0,True,Only a crazy person would pick a BYD instead of a Tesla. All other EV companies are still behind Tesla,"['BYD', 'Tesla']",-0.34,Negative,"['tesla', 'instead', 'companies', 'ev', 'byd']",,,
UgzA642ekwUv2GKAxIN4AaABAg,comment,Y8yTY_7w3KA,,False,@obi-wankenobi5332,garbage in garbage out  🤣😂😅😆😁😄😃😀,0.0,True,garbage in garbage out 🤣😂😅😆😁😄😃😀,[],0.9705,Positive,[],,,
UgwJt5VOyFPUqfcTwYV4AaABAg,comment,Y8yTY_7w3KA,,False,@SuperMario1111,Hold my Beer .. ohh my Gosh you are funny .,0.0,True,Hold my Beer .. ohh my Gosh you are funny .,[],0.4404,Positive,['hold'],,,
Ugw8eI0g7sPJha21b5t4AaABAg,comment,Y8yTY_7w3KA,,False,@VickersDoorter,So much nicer-looking than Tesla's very boring inverted jelly-mould design.,0.0,True,So much nicer-looking than Tesla's very boring inverted jelly-mould design.,['Tesla'],-0.3804,Negative,"['looking tesla', 'nicer', 'boring', 'design', 'looking']",,,
Ugx0oocsKkkQRccm_r54AaABAg,comment,Y8yTY_7w3KA,,False,@handleit,"If you had to pick between this and volvo ex30 dual motor ultra, which one would you pick and why. Also what would your ultimate EV be in this price range. thanks.",0.0,True,"If you had to pick between this and volvo ex30 dual motor ultra, which one would you pick and why. Also what would your ultimate EV be in this price range. thanks.",['ex30'],0.4404,Positive,"['price', 'range', 'thanks', 'ev']",,,
