serial_no,video_id,text,clean_text,entities,keywords,sentiment_score,sentiment
16,V0wtNI-rzSg,"Interesting how car enthusiasts (like Shmee, and me too for that matter.!) have started to warm on the concept of EV’s.! But the indisputable truth still remains that DEPRECIATION will eventually destroy the ownership experience. At trade in time…. But the technology of EV’s is amazing 😻 all the same…","Interesting how car enthusiasts (like Shmee, and me too for that matter.!) have started to warm on the concept of EV’s.! But the indisputable truth still remains that DEPRECIATION will eventually destroy the ownership experience. At trade in time…. But the technology of EV’s is amazing 😻 all the same…","['Shmee', 'DEPRECIATION']","['ev', 'trade', 'started', 'truth', 'matter']",0.915,Positive
17,V0wtNI-rzSg,Crazy that this car is £18000 overseas and under £50000 in the UK 😂😂😂😂,Crazy that this car is £18000 overseas and under £50000 in the UK 😂😂😂😂,[],"['50000', 'crazy', 'uk', 'car']",0.8481,Positive
18,V0wtNI-rzSg,That’s the only thing in BYD😂😂 other than that there nothing but garbage,That’s the only thing in BYD😂😂 other than that there nothing but garbage,['BYD'],"['byd garbage', 'thing byd', 'garbage', 'thing', 'byd']",0.4404,Positive
19,V0wtNI-rzSg,I thought it was going to be a feature that appealed to adults.,I thought it was going to be a feature that appealed to adults.,[],"['thought', 'going', 'feature']",0.0,Neutral
20,V0wtNI-rzSg,except they removed the swivel screen from the latest year model,except they removed the swivel screen from the latest year model,[],"['swivel', 'latest', 'removed', 'year', 'model']",0.0,Neutral
21,V0wtNI-rzSg,"brakes grab and very un real, aircon and heater is utter CRAP, the speaker/radio sound is shit and lots more bad on it.","brakes grab and very un real, aircon and heater is utter CRAP, the speaker/radio sound is shit and lots more bad on it.",['CRAP'],"['heater', 'radio', 'lots', 'sound', 'real']",-0.9005,Negative
22,V0wtNI-rzSg,"just un plugged from charging ...hey ...REALY as the screen shows NOT.......... 350 miles is BS,  If 30% of something is 96 miles, the total (100%) is 320 miles (\(96 \div 0.30\)).","just un plugged from charging ...hey ...REALY as the screen shows NOT.......... 350 miles is BS, If 30% of something is 96 miles, the total (100%) is 320 miles (\(96 \div 0.30\)).",[],"['miles', '30', 'shows', '350 miles', 'bs']",0.0,Neutral
23,V0wtNI-rzSg,Todos los byd lo hacen,Todos los byd lo hacen,['lo hacen'],['byd'],0.0,Neutral
24,V0wtNI-rzSg,Oh wow! 😂😂😂😂 so boring ! Wow!,Oh wow! 😂😂😂😂 so boring ! Wow!,[],"['wow', 'oh wow', 'boring', 'oh']",0.9542,Positive
25,V0wtNI-rzSg,That shit is stupid...,That shit is stupid...,[],"['stupid', 'shit']",-0.7906,Negative
26,V0wtNI-rzSg,Suspension could be better,Suspension could be better,[],"['suspension', 'better']",0.4404,Positive
27,V0wtNI-rzSg,Android werkt niet als je het scherm draait wat ben je er dan mee😂,Android werkt niet als je het scherm draait wat ben je er dan mee😂,"['Android', 'ben je er dan mee']","['er', 'android']",0.4404,Positive
28,V0wtNI-rzSg,My Granny has a BYD Dolphin Surf that has a screen that spins in the exact same way,My Granny has a BYD Dolphin Surf that has a screen that spins in the exact same way,['Granny'],"['surf', 'dolphin surf', 'byd dolphin', 'exact', 'spins']",0.0,Neutral
29,V0wtNI-rzSg,"If you think that interior is great, wait til you see the BYD Sealion 7","If you think that interior is great, wait til you see the BYD Sealion 7",[],"['byd sealion', 'sealion', 'wait', 'think', 'interior']",0.6249,Positive
30,V0wtNI-rzSg,Such a gimmick they canned it on the latest models as everyone did it once and then left it in landscape. Lots of apps didn’t function in portrait mode. Also….did you just pronounce innovative as three separate words….‘in OV ative 🫤 bit weird.,Such a gimmick they canned it on the latest models as everyone did it once and then left it in landscape. Lots of apps didn’t function in portrait mode. Also….did you just pronounce innovative as three separate words….‘in OV ative 🫤 bit weird.,[],"['did', 'words', 'ov ative', 'just pronounce', 'weird']",0.296,Positive
31,V0wtNI-rzSg,Update News: Rotating Screen in 2026 Model get/got removed😅,Update News: Rotating Screen in 2026 Model get/got removed😅,['Update News: Rotating Screen'],"['update', '2026', 'news', 'removed', 'got']",0.3612,Positive
32,V0wtNI-rzSg,The facelift 2026 version has removed this feature 😆,The facelift 2026 version has removed this feature 😆,[],"['facelift', '2026', 'removed', 'version', 'feature']",0.3612,Positive
33,V0wtNI-rzSg,Aaaaaand yuo not gonna use it ever. That's why they stopped doing it,Aaaaaand yuo not gonna use it ever. That's why they stopped doing it,[],"['stopped', 'gonna', 'doing', 'use']",-0.2263,Negative
34,V0wtNI-rzSg,"Useless stuff : just made for your kind of video, but absolutely useless in daily life","Useless stuff : just made for your kind of video, but absolutely useless in daily life",[],"['useless', 'absolutely', 'kind', 'daily', 'life']",-0.7218,Negative
35,V0wtNI-rzSg,They have removed the rotating screen in the updated 26 model,They have removed the rotating screen in the updated 26 model,[],"['updated', 'removed', 'rotating screen', 'rotating', 'model']",0.0,Neutral
36,V0wtNI-rzSg,Rotating screens are ok but first I'd like to see the first Seal pass the 700.000km  treshold without any major issues. There are tons of Teslas out there that did this and for me that is more relevant than a rotating screen.,Rotating screens are ok but first I'd like to see the first Seal pass the 700.000km treshold without any major issues. There are tons of Teslas out there that did this and for me that is more relevant than a rotating screen.,['Teslas'],"['rotating', 'like seal', 'tons', 'rotating screens', 'teslas']",0.5927,Positive
37,V0wtNI-rzSg,Every BYD does that.,Every BYD does that.,['BYD'],"['byd does', 'does', 'byd']",0.0,Neutral
38,V0wtNI-rzSg,"Build Your Dreams. I think one day soon, I will own one of these.","Build Your Dreams. I think one day soon, I will own one of these.",[],"['build dreams', 'soon', 'dreams', 'day', 'build']",0.4019,Positive
39,V0wtNI-rzSg,"There is an additional safety camera visible, the passenger side, for reverse parking. I use portrait mode slso when using the sat nav.","There is an additional safety camera visible, the passenger side, for reverse parking. I use portrait mode slso when using the sat nav.",[],"['use portrait', 'passenger', 'sat', 'camera', 'parking']",0.4215,Positive
40,V0wtNI-rzSg,I'm an owner of that BYD Seal AWD in Mexico. I purchased 2 years ago and I still love it. And as here in Mexico the gasoline is very expensive and the light is very cheap 29MXN per liter vs 4MXN per Kw is insane. After my 2 years is still same as new with a couple of software updates but is still drives and looks fantastic.,I'm an owner of that BYD Seal AWD in Mexico. I purchased 2 years ago and I still love it. And as here in Mexico the gasoline is very expensive and the light is very cheap 29MXN per liter vs 4MXN per Kw is insane. After my 2 years is still same as new with a couple of software updates but is still drives and looks fantastic.,"['BYD', 'AWD', 'Mexico', 'liter vs 4MXN']","['mexico', 'years', 'years new', 'updates', 'vs']",0.7684,Positive
41,V0wtNI-rzSg,Available everywhere. Except America.,Available everywhere. Except America.,['America'],"['available', 'america']",0.0,Neutral
42,V0wtNI-rzSg,Under $50k and in Kenya it's double the price just tax alone 😢..to add insurance and not to mention scars scarce spare pads....but I would definitely choose it...💯,Under $50k and in Kenya it's double the price just tax alone 😢..to add insurance and not to mention scars scarce spare pads....but I would definitely choose it...💯,['Kenya'],"['spare', 'choose', 'add', 'insurance', 'mention']",-0.34,Negative
43,V0wtNI-rzSg,The way you pronounced innovative completely threw me. I thought you where choking 😂,The way you pronounced innovative completely threw me. I thought you where choking 😂,[],"['pronounced', 'completely', 'thought', 'way', 'innovative']",0.4215,Positive
44,V0wtNI-rzSg,If prefer landscape because it doesn't obstruct my view,If prefer landscape because it doesn't obstruct my view,[],"['view', 'prefer', 'landscape', 'doesn']",0.0,Neutral
45,V0wtNI-rzSg,Just come up on my feed from Nov 2024 !,Just come up on my feed from Nov 2024 !,[],"['2024', 'nov', 'come', 'just']",0.0,Neutral
46,V0wtNI-rzSg,I thought a Ford could already do this?,I thought a Ford could already do this?,['Ford'],"['ford', 'thought']",0.0,Neutral
47,V0wtNI-rzSg,"most useless feature, next generations removed it","most useless feature, next generations removed it",[],"['useless feature', 'removed', 'useless', 'feature']",-0.4754,Negative
48,V0wtNI-rzSg,But does it charge at 1MW ? If not throw it in the bin.,But does it charge at 1MW ? If not throw it in the bin.,['bin'],"['charge', 'does']",0.0,Neutral
49,V0wtNI-rzSg,BYD have dropped it from MY26,BYD have dropped it from MY26,['BYD'],['byd'],0.0,Neutral
50,V0wtNI-rzSg,"Its either quite unusual or unique,it cant be both.
Still junk,give it five years max and it will be scrap","Its either quite unusual or unique,it cant be both. Still junk,give it five years max and it will be scrap",['max'],"['quite unusual', 'max', 'scrap', 'unusual unique', 'unusual']",0.0,Neutral
51,V0wtNI-rzSg,One more thing to break...,One more thing to break...,[],"['thing break', 'break', 'thing']",0.0,Neutral
52,V0wtNI-rzSg,Not for the 2026 version…,Not for the 2026 version…,[],"['2026', 'version']",0.0,Neutral
53,V0wtNI-rzSg,You have to buy that Yangwang U9 ❤,You have to buy that Yangwang U9 ❤,['Yangwang U9 ❤'],"['yangwang', 'buy']",0.6369,Positive
54,V0wtNI-rzSg,Volvo drivers discovered it landscape mode all the way,Volvo drivers discovered it landscape mode all the way,['Volvo'],"['volvo', 'discovered', 'drivers', 'landscape mode', 'mode']",0.0,Neutral
55,V0wtNI-rzSg,I’ve got one and I can confirm that I never switch it from landscape. Primarily because Apple car play wont support it so it disables the functionality. It’s just a gimmick,I’ve got one and I can confirm that I never switch it from landscape. Primarily because Apple car play wont support it so it disables the functionality. It’s just a gimmick,['Apple'],"['switch', 'car play', 'apple car', 'wont', 'play']",0.0366,Neutral
56,V0wtNI-rzSg,Pointless gimmick. Give me buttons for the aircon instead,Pointless gimmick. Give me buttons for the aircon instead,['Pointless'],"['pointless gimmick', 'pointless', 'instead', 'gimmick', 'buttons']",0.0,Neutral
57,V0wtNI-rzSg,Build in Chinese Secret Service....go for it!,Build in Chinese Secret Service....go for it!,['Chinese Secret Service'],"['service', 'build', 'chinese']",0.0,Neutral
58,V0wtNI-rzSg,"Super, ça sert à quoi ?","Super, ça sert à quoi ?",[],['super'],0.5994,Positive
59,V0wtNI-rzSg,This is not the only car 😄 search for zeekr 9x,This is not the only car 😄 search for zeekr 9x,[],"['zeekr', 'car']",0.6705,Positive
60,V0wtNI-rzSg,A car made by a fraudulent company.,A car made by a fraudulent company.,[],"['company', 'car']",-0.4939,Negative
61,V0wtNI-rzSg,I heard after sales service is difficult especially road assistance after 12 months,I heard after sales service is difficult especially road assistance after 12 months,[],"['sales', '12', 'service', 'especially', 'months']",-0.3612,Negative
62,V0wtNI-rzSg,"im a tall guy, will that screen break if i bump into it with my knee getting in and out of the car?","im a tall guy, will that screen break if i bump into it with my knee getting in and out of the car?",[],"['tall', 'im', 'guy', 'getting', 'break']",0.0,Neutral
63,V0wtNI-rzSg,fisker did the same long time ago lol,fisker did the same long time ago lol,[],"['long time', 'fisker did', 'ago', 'long', 'time']",0.4215,Positive
64,V0wtNI-rzSg,A spinny tablet is all the reason you need to buy a car. Really,A spinny tablet is all the reason you need to buy a car. Really,[],"['need buy', 'car really', 'buy car', 'reason', 'tablet']",0.0,Neutral
65,V0wtNI-rzSg,"Once the manufacturer's warranty expires, you're left with a bunch of electronics that you probably can't resell! Typical leased car, nothing more!","Once the manufacturer's warranty expires, you're left with a bunch of electronics that you probably can't resell! Typical leased car, nothing more!",[],"['bunch', 'warranty', 'electronics', 'typical', 'manufacturer']",0.0,Neutral
66,V0wtNI-rzSg,we getting sealion 6,we getting sealion 6,[],"['sealion', 'getting']",0.0,Neutral
67,V0wtNI-rzSg,"Must be the last person on planet earth to see this irrelevant feature, but hey that’s what idiots are impressed by today.","Must be the last person on planet earth to see this irrelevant feature, but hey that’s what idiots are impressed by today.",[],"['idiots', 'earth', 'impressed', 'person', 'today']",0.631,Positive
68,V0wtNI-rzSg,"Well thats an ""interesting"" way to pronounce innovative lol","Well thats an ""interesting"" way to pronounce innovative lol",[],"['innovative lol', 'way pronounce', 'thats', 'pronounce innovative', 'interesting']",0.8591,Positive
69,V0wtNI-rzSg,I think I've read somewhere where they've disabled this feature,I think I've read somewhere where they've disabled this feature,[],"['ve', 'read', 'think', 'feature']",0.0,Neutral
70,V0wtNI-rzSg,The only shitty part is you cannot use Waze/ Google Maps on the vertical layout,The only shitty part is you cannot use Waze/ Google Maps on the vertical layout,['Waze/ Google Maps'],"['google', 'shitty', 'vertical', 'use']",-0.5574,Negative
71,V0wtNI-rzSg,Meu Astra 2011 roda até hoje. Será que um BYD Seal rodaria?,Meu Astra 2011 roda até hoje. Será que um BYD Seal rodaria?,['Meu Astra 2011'],"['que', 'byd seal', 'seal', 'byd']",0.0,Neutral
72,V0wtNI-rzSg,350 kilometers maybe. that is the cheapest ev u can have in china.,350 kilometers maybe. that is the cheapest ev u can have in china.,['china'],"['cheapest', '350', 'maybe', 'ev', 'china']",0.0,Neutral
73,V0wtNI-rzSg,BYD starts to abandon this feature because just nobody uses it.,BYD starts to abandon this feature because just nobody uses it.,['BYD'],"['uses', 'starts', 'feature', 'just', 'byd']",-0.4404,Negative
74,V0wtNI-rzSg,portrait mode perfect to watch Chinese soulsucking dramas😁,portrait mode perfect to watch Chinese soulsucking dramas😁,['Chinese'],"['perfect', 'watch', 'portrait mode', 'mode', 'portrait']",0.7717,Positive
75,V0wtNI-rzSg,"Yeah, you won't get 350 miles out of that...","Yeah, you won't get 350 miles out of that...",[],"['350 miles', '350', 'miles', 'won', 'yeah']",0.296,Positive
76,V0wtNI-rzSg,"Winter, summer , winter , summer broken 😂","Winter, summer , winter , summer broken 😂",[],['winter'],-0.0516,Negative
77,V0wtNI-rzSg,"Chinese crap !! Why buy and support the Commies, in doing so shafting the British car industry 😑","Chinese crap !! Why buy and support the Commies, in doing so shafting the British car industry 😑","['Chinese', 'Commies', 'British']","['british', 'car industry', 'chinese crap', 'support', 'doing']",0.1739,Positive
78,V0wtNI-rzSg,Its quite useless. Lot of apps dont work in portrait mode.,Its quite useless. Lot of apps dont work in portrait mode.,[],"['work portrait', 'apps', 'quite', 'dont', 'portrait mode']",-0.4754,Negative
79,V0wtNI-rzSg,America afraid of having byd. Tesla would go down. 😅,America afraid of having byd. Tesla would go down. 😅,['America'],"['afraid', 'byd tesla', 'america', 'having', 'tesla']",0.3612,Positive
80,V0wtNI-rzSg,The world has gone mad when it comes to wether you like your tablet landscape or portrait is really of any relevance,The world has gone mad when it comes to wether you like your tablet landscape or portrait is really of any relevance,[],"['landscape portrait', 'gone', 'comes', 'world', 'landscape']",-0.1779,Negative
81,V0wtNI-rzSg,Ford Mustang does the same thing years before,Ford Mustang does the same thing years before,['Ford Mustang'],"['does thing', 'ford', 'thing', 'years', 'does']",0.0,Neutral
82,V0wtNI-rzSg,"The EV public infrastructure here in Australia is woeful! Over this past Easter long-weekend, EV owners were queued up for +5 hours awaiting to charge their cars. No range anxiety in fossil fuel cars. Won't be buying an EV until this country properly supports practical charging infrastructure. Oh.. and the battery charging units are all powered by coal! 😑","The EV public infrastructure here in Australia is woeful! Over this past Easter long-weekend, EV owners were queued up for +5 hours awaiting to charge their cars. No range anxiety in fossil fuel cars. Won't be buying an EV until this country properly supports practical charging infrastructure. Oh.. and the battery charging units are all powered by coal! 😑",['Australia'],"['infrastructure', 'ev', 'charging', 'units', 'public']",-0.3952,Negative
83,V0wtNI-rzSg,"And what's hilarious - ""Android auto doesn't support portrait layout"" ... the one use portrait would help with (seeing further ahead when using Google Maps) doesn't work.","And what's hilarious - ""Android auto doesn't support portrait layout"" ... the one use portrait would help with (seeing further ahead when using Google Maps) doesn't work.","['Android', 'Google Maps']","['doesn', 'portrait', 'use portrait', 'google', 'doesn work']",0.484,Positive
84,V0wtNI-rzSg,That’s a pretty ugly user interface,That’s a pretty ugly user interface,[],"['user interface', 'user', 'interface', 'ugly', 'pretty']",-0.0258,Neutral
85,V0wtNI-rzSg,"We're paying double the price in uk, rip off britain.","We're paying double the price in uk, rip off britain.",['britain'],"['britain', 'paying', 'uk', 'price']",0.0,Neutral
86,V0wtNI-rzSg,Nobody uses it. It’s being discontinued.,Nobody uses it. It’s being discontinued.,[],['uses'],0.0,Neutral
87,V0wtNI-rzSg,The proportions on my Omitren 1:1 are right and that was literally the first thing i checked,The proportions on my Omitren 1:1 are right and that was literally the first thing i checked,[],"['omitren', 'literally', 'right', 'thing']",0.0,Neutral
88,V0wtNI-rzSg,omitren had mine in transit before i even finished watching this,omitren had mine in transit before i even finished watching this,[],"['omitren', 'watching']",0.0,Neutral
89,V0wtNI-rzSg,Omitren genuinely changed what i thought was possible for 1:1 quality and i cannot unlearn that,Omitren genuinely changed what i thought was possible for 1:1 quality and i cannot unlearn that,['Omitren'],"['genuinely', 'omitren', 'changed', 'thought', 'quality']",0.0,Neutral
90,V0wtNI-rzSg,Omitren is the only source i trust completely and that trust was built order by order,Omitren is the only source i trust completely and that trust was built order by order,['Omitren'],"['order', 'trust', 'omitren', 'completely', 'built']",0.7823,Positive
91,V0wtNI-rzSg,that's so useless :D,that's so useless :D,[],['useless'],0.3001,Positive
92,V0wtNI-rzSg,Byd shark does aswell,Byd shark does aswell,[],"['byd shark', 'shark does', 'aswell', 'shark', 'does']",0.0,Neutral
93,V0wtNI-rzSg,Never used the rotation once on my car! Pointless,Never used the rotation once on my car! Pointless,[],"['rotation', 'pointless', 'used', 'car']",0.0,Neutral
94,V0wtNI-rzSg,"Hopefully, someday, BYD will be available in. the USA!","Hopefully, someday, BYD will be available in. the USA!","['BYD', 'USA']","['hopefully', 'available', 'usa', 'byd']",0.4574,Positive
95,V0wtNI-rzSg,"There is a video of Elon musk being asked about a BUD in there early days showing him an ugly model and he laughed at it now he has nightmares about them ,the great thing about BYD is they are premerily a Battery company ,China are turning the whole motor industry on it's head","There is a video of Elon musk being asked about a BUD in there early days showing him an ugly model and he laughed at it now he has nightmares about them ,the great thing about BYD is they are premerily a Battery company ,China are turning the whole motor industry on it's head","['BUD', 'BYD', 'Battery', 'China']","['thing byd', 'asked', 'elon musk', 'early', 'showing']",0.5859,Positive
96,V0wtNI-rzSg,Got this on my BYD Atto 3… never use it. Just leave it in landscape as CarPlay only works in landscape.,Got this on my BYD Atto 3… never use it. Just leave it in landscape as CarPlay only works in landscape.,['CarPlay'],"['landscape', 'got byd', 'works', 'leave', 'byd atto']",-0.0516,Negative
97,V0wtNI-rzSg,"Oh you poor US guys, you cannot buy BYD in US. So you have to live with the TESLA shit.","Oh you poor US guys, you cannot buy BYD in US. So you have to live with the TESLA shit.",['BYD'],"['buy byd', 'poor', 'guys', 'live', 'oh']",-0.7717,Negative
98,V0wtNI-rzSg,Not the only car that does it.,Not the only car that does it.,[],"['car does', 'does', 'car']",0.0,Neutral
99,V0wtNI-rzSg,Is there dark UI theme? Light ones suck so badly.,Is there dark UI theme? Light ones suck so badly.,[],"['theme', 'dark', 'light', 'ones', 'ui']",-0.784,Negative
100,V0wtNI-rzSg,Already appeared Seal 07😅,Already appeared Seal 07😅,[],['seal'],0.3612,Positive
101,V0wtNI-rzSg,Btw this car is only about 8k euro in China lmao,Btw this car is only about 8k euro in China lmao,['China'],"['btw', 'lmao', 'euro', 'china', 'car']",0.5994,Positive
102,V0wtNI-rzSg,"Nice interior, im going electric next, stepping foot into that world and handing my m3 back. Ill never buy Chinese though.","Nice interior, im going electric next, stepping foot into that world and handing my m3 back. Ill never buy Chinese though.",['Chinese'],"['m3', 'buy chinese', 'im', 'world', 'going']",0.0,Neutral
103,V0wtNI-rzSg,This car is a good Daily Driver,This car is a good Daily Driver,[],"['daily driver', 'daily', 'driver', 'good', 'car']",0.4404,Positive
104,V0wtNI-rzSg,Shark 6 does this,Shark 6 does this,[],"['shark does', 'shark', 'does']",0.0,Neutral
105,V0wtNI-rzSg,"Screens are too big
Car looks great otherwise",Screens are too big Car looks great otherwise,['Screens'],"['car looks', 'looks great', 'big', 'screens', 'great']",0.6249,Positive
106,V0wtNI-rzSg,That screen would have to.be turned off for me ...  What do I want that for in a car .my daily 1997 Escort doesn't have one. Dangerous distraction,That screen would have to.be turned off for me ... What do I want that for in a car .my daily 1997 Escort doesn't have one. Dangerous distraction,"['to.be', 'Escort']","['distraction', 'screen turned', 'want car', 'turned', 'dangerous']",0.0654,Positive
107,V0wtNI-rzSg,Pretty much everyone I know that owns one plus the reviews I have seen come up with the same conclusion. It's a novelty you use once and then leave it in landscape.,Pretty much everyone I know that owns one plus the reviews I have seen come up with the same conclusion. It's a novelty you use once and then leave it in landscape.,[],"['leave', 'plus', 'reviews', 'pretty', 'come']",0.4588,Positive
108,V0wtNI-rzSg,The silly stuff,The silly stuff,[],"['silly stuff', 'silly', 'stuff']",0.0258,Neutral
109,V0wtNI-rzSg,My BYD Sealion 7 does this,My BYD Sealion 7 does this,[],"['byd sealion', 'sealion', 'does', 'byd']",0.0,Neutral
110,V0wtNI-rzSg,Can you make rotate non stop whilst driving ?,Can you make rotate non stop whilst driving ?,[],"['whilst driving', 'non', 'whilst', 'rotate', 'stop']",-0.296,Negative
111,V0wtNI-rzSg,"oh schmee 😔

how much did byd pay you for your nice words.

don't be a sellout, you will lose all respect","oh schmee 😔 how much did byd pay you for your nice words. don't be a sellout, you will lose all respect",[],"['respect', 'words', 'lose', 'schmee', 'did byd']",0.4767,Positive
112,V0wtNI-rzSg,They are removing the rotating screens in future models/updates,They are removing the rotating screens in future models/updates,[],"['rotating screens', 'updates', 'future', 'models', 'screens']",0.0,Neutral
113,V0wtNI-rzSg,I test drove both this and the model 3 performance. The Tesla is by far the better car,I test drove both this and the model 3 performance. The Tesla is by far the better car,['Tesla'],"['better car', 'drove', 'performance', 'far', 'test']",0.4404,Positive
114,V0wtNI-rzSg,come to indisa tata di\o it,come to indisa tata di\o it,[],"['di', 'come']",0.0,Neutral
115,V0wtNI-rzSg,"Can we talk about the ridiculous service schedule? Everyone seems to be ignoring that. 


Here in Australia, every second service costs nearly 1k and they don’t do anything…. For high mileage users your better off in Tesla long term","Can we talk about the ridiculous service schedule? Everyone seems to be ignoring that. Here in Australia, every second service costs nearly 1k and they don’t do anything…. For high mileage users your better off in Tesla long term","['Australia', 'Tesla']","['service', 'users', 'second', 'talk', 'costs']",-0.3182,Negative
116,V0wtNI-rzSg,I have a BYD and this screen rotation is dumb (everything else is great tho),I have a BYD and this screen rotation is dumb (everything else is great tho),['BYD'],"['byd screen', 'tho', 'screen rotation', 'rotation', 'dumb']",0.2023,Positive
117,V0wtNI-rzSg,Bildschirm dreht sich in 2026 nicht mehr,Bildschirm dreht sich in 2026 nicht mehr,['Bildschirm'],"['nicht', '2026']",0.0,Neutral
118,V0wtNI-rzSg,I think it lacks lsd screen,I think it lacks lsd screen,[],"['think', 'screen']",0.0,Neutral
119,V0wtNI-rzSg,wow the byd looks so cool im gonna get one soon and try it out to see what it actually feels like when using one for the first time,wow the byd looks so cool im gonna get one soon and try it out to see what it actually feels like when using one for the first time,[],"['feels like', 'looks cool', 'feels', 'soon', 'try']",0.8516,Positive
120,V0wtNI-rzSg,That is such a useless gimmick of a feature!,That is such a useless gimmick of a feature!,[],"['useless gimmick', 'gimmick', 'useless', 'feature']",-0.4753,Negative
121,V0wtNI-rzSg,Finally my sister has a Tesla and I always knock my knee on the screen this should have been on every car with large screens,Finally my sister has a Tesla and I always knock my knee on the screen this should have been on every car with large screens,['Tesla'],"['finally', 'screen car', 'large', 'screens', 'tesla']",0.0,Neutral
122,V0wtNI-rzSg,J'aime beaucoup ❤,J'aime beaucoup ❤,[],[],0.6369,Positive
123,V0wtNI-rzSg,Really posh piano black hellscape. Looks nice from the outside though. Still would not get one with how mediocre the ADAS is at best and the consumption is worse than some SUVs.,Really posh piano black hellscape. Looks nice from the outside though. Still would not get one with how mediocre the ADAS is at best and the consumption is worse than some SUVs.,['ADAS'],"['looks nice', 'adas', 'worse', 'piano', 'piano black']",0.5994,Positive
124,V0wtNI-rzSg,You have been living in the cave my friend,You have been living in the cave my friend,[],"['friend', 'living']",0.4939,Positive
125,V0wtNI-rzSg,So....how do you turn up the heat during winter?,So....how do you turn up the heat during winter?,[],"['winter', 'heat', 'turn']",0.0,Neutral
126,V0wtNI-rzSg,All byd do it... Evs are dirt. No1 wants them,All byd do it... Evs are dirt. No1 wants them,[],"['wants', 'evs', 'byd']",-0.34,Negative
127,V0wtNI-rzSg,amzing car just had my byd seal excellence delivered. it is amazing and the speed wow,amzing car just had my byd seal excellence delivered. it is amazing and the speed wow,[],"['car just', 'amazing', 'byd seal', 'speed', 'wow']",0.9136,Positive
128,V0wtNI-rzSg,"The Fisker Ocean also did this, as do a variety of Chinese cars, if memory serves me right.","The Fisker Ocean also did this, as do a variety of Chinese cars, if memory serves me right.","['The Fisker Ocean', 'Chinese']","['serves', 'memory', 'ocean did', 'chinese cars', 'right']",0.0,Neutral
129,V0wtNI-rzSg,Don't stay in portrait when using apple play when driving do pointless,Don't stay in portrait when using apple play when driving do pointless,[],"['stay', 'pointless', 'play', 'using', 'apple']",0.34,Positive
130,V0wtNI-rzSg,Chinese landfill crap,Chinese landfill crap,['Chinese'],"['crap', 'chinese']",-0.3818,Negative
131,V0wtNI-rzSg,A useless function,A useless function,[],"['useless function', 'function', 'useless']",-0.4215,Negative
132,V0wtNI-rzSg,The dolphin does it as well,The dolphin does it as well,[],"['dolphin', 'does']",0.2732,Positive
