serial_no,video_id,text,clean_text,entities,keywords,sentiment_score,sentiment
21,iueGI4CzP-0,Bought one! The standard version. Should be arriving in Dublin in a few weeks. Greetings from Ireland 🇮🇪,Bought one! The standard version. Should be arriving in Dublin in a few weeks. Greetings from Ireland 🇮🇪,"['Dublin', 'Ireland']","['greetings', 'standard version', 'ireland', 'weeks', 'standard']",0.4753,Positive
22,iueGI4CzP-0,hell no i got hyundai ionqi 6,hell no i got hyundai ionqi 6,['hyundai'],"['hyundai', 'hell', 'got']",-0.7783,Negative
23,iueGI4CzP-0,"This is my first EV, I get it Wednesday!!!","This is my first EV, I get it Wednesday!!!",[],['ev'],0.0,Neutral
24,iueGI4CzP-0,Karen’s drive Tesla,Karen’s drive Tesla,['Tesla'],"['drive tesla', 'drive', 'tesla']",0.0,Neutral
25,iueGI4CzP-0,"I used to hate EVs and Teslas, but this refreshed Model 3 is just so perfect. Looks way better than the old version, i want one","I used to hate EVs and Teslas, but this refreshed Model 3 is just so perfect. Looks way better than the old version, i want one","['Teslas', 'Model 3']","['old version', 'better old', 'looks way', 'refreshed model', 'model just']",0.8901,Positive
26,iueGI4CzP-0,Which Modell 3 Highland?,Which Modell 3 Highland?,['Highland'],['highland'],0.0,Neutral
27,iueGI4CzP-0,"I just picked up my M3 LR a week ago. I did not like having no stalks at first but now I love it, especially when reversing and putting it in drive you don’t need to do anything with your hands, it’s great!!!","I just picked up my M3 LR a week ago. I did not like having no stalks at first but now I love it, especially when reversing and putting it in drive you don’t need to do anything with your hands, it’s great!!!",[],"['just picked', 'having stalks', 'week ago', 'like having', 'm3 lr']",0.935,Positive
28,iueGI4CzP-0,Highkey looks way better than the previous bubble headlight version,Highkey looks way better than the previous bubble headlight version,[],"['bubble', 'looks way', 'better previous', 'headlight', 'way better']",0.4404,Positive
29,iueGI4CzP-0,"Using the word ""Refresh"" to describe a new car is F🤬🤬🤬n DUMB.  WTF!!  People who cant afford a new car don't have the right to rebrand the word. A NEW CAR is a car with less than 20 miles from the factory to the dealership you pick it up from.  Refresh is LAME.🤣🤣🤣🤣🤣 Just because a person cant afford a new car doesn't mean you can call it refresh.  F🤬🤬🤬 that shit! FR FR","Using the word ""Refresh"" to describe a new car is F🤬🤬🤬n DUMB. WTF!! People who cant afford a new car don't have the right to rebrand the word. A NEW CAR is a car with less than 20 miles from the factory to the dealership you pick it up from. Refresh is LAME.🤣🤣🤣🤣🤣 Just because a person cant afford a new car doesn't mean you can call it refresh. F🤬🤬🤬 that shit! FR FR",[],"['new car', 'refresh', 'new', 'car', 'word']",-0.3767,Negative
30,iueGI4CzP-0,Se yon si li ?,Se yon si li ?,[],"['se', 'si', 'li']",0.0,Neutral
31,iueGI4CzP-0,Si li ?,Si li ?,[],"['si', 'li']",0.0,Neutral
32,iueGI4CzP-0,"Super pumped my first Tesla, this sexy one, AWD Model 3, yippie, 🎉, is on the way for delivery ⚡️🇺🇸","Super pumped my first Tesla, this sexy one, AWD Model 3, yippie, 🎉, is on the way for delivery ⚡️🇺🇸","['Super', 'Tesla', 'AWD Model 3']","['awd model', 'sexy', 'awd', 'delivery', 'super']",0.891,Positive
33,iueGI4CzP-0,"If anyone wants to share their referral code with me, reply to my comment with your link. I'm purchasing one by July 2025.","If anyone wants to share their referral code with me, reply to my comment with your link. I'm purchasing one by July 2025.",[],"['referral code', 'july', 'link', 'share', 'code']",0.296,Positive
34,iueGI4CzP-0,is insurance super pricey for this kind of car?,is insurance super pricey for this kind of car?,[],"['insurance', 'kind', 'super', 'car']",0.5994,Positive
35,iueGI4CzP-0,Will they update the Model 3 this year to the Juniper-style exterior that the Model Y has?,Will they update the Model 3 this year to the Juniper-style exterior that the Model Y has?,['the Model 3'],"['update model', 'model year', 'juniper', 'exterior', 'style']",0.0,Neutral
36,iueGI4CzP-0,is it good for uber?,is it good for uber?,[],"['uber', 'good']",0.4404,Positive
37,iueGI4CzP-0,bad turn signal button,bad turn signal button,[],"['turn signal', 'signal', 'button', 'turn', 'bad']",-0.5423,Negative
38,iueGI4CzP-0,"Unfortunately, still pretty expensive for the car class.","Unfortunately, still pretty expensive for the car class.",[],"['class', 'unfortunately', 'expensive', 'pretty', 'car']",0.2023,Positive
39,iueGI4CzP-0,Yeah later and you let the left smut you out. I always knew you was a clown,Yeah later and you let the left smut you out. I always knew you was a clown,[],"['clown', 'later', 'knew', 'yeah', 'let']",0.296,Positive
40,iueGI4CzP-0,"Year late but how do they put the tail lights in the trunk lid, as daddy Doug always points out, I thought US regs didn’t allow tail lights on moving bodywork.","Year late but how do they put the tail lights in the trunk lid, as daddy Doug always points out, I thought US regs didn’t allow tail lights on moving bodywork.",['Doug'],"['tail lights', 'tail', 'lights', 'daddy', 'moving bodywork']",0.3291,Positive
41,iueGI4CzP-0,Compare to a byd,Compare to a byd,[],"['compare', 'byd']",0.0,Neutral
42,iueGI4CzP-0,Just got my 2025. First EV and couldn't be happier!,Just got my 2025. First EV and couldn't be happier!,['First EV'],"['couldn', '2025', 'just got', 'got', 'ev']",-0.471,Negative
43,iueGI4CzP-0,I hope all these idiots here buy this and constantly take it to the shop to be fixed😂😂😂😂😂😂😂😂😂😂😂😂,I hope all these idiots here buy this and constantly take it to the shop to be fixed😂😂😂😂😂😂😂😂😂😂😂😂,[],"['idiots', 'shop', 'constantly', 'fixed', 'hope']",0.9879,Positive
44,iueGI4CzP-0,The best car to go from Berlin to Poland in a single charge !,The best car to go from Berlin to Poland in a single charge !,"['Berlin', 'Poland']","['best car', 'single', 'charge', 'best', 'car']",0.6696,Positive
45,iueGI4CzP-0,Tesla supporter should not have subscribers!,Tesla supporter should not have subscribers!,[],['tesla'],0.3382,Positive
46,iueGI4CzP-0,"ELON respected this, the lefts brainwashed him with lies lies and lies.....and more money.....he also probably took the corvid jabs too","ELON respected this, the lefts brainwashed him with lies lies and lies.....and more money.....he also probably took the corvid jabs too",[],"['lies', 'took', 'probably', 'money', 'elon']",-0.3612,Negative
47,iueGI4CzP-0,Beautiful car & great video!,Beautiful car & great video!,[],"['beautiful car', 'car great', 'beautiful', 'great video', 'great']",0.8516,Positive
48,iueGI4CzP-0,Anyone else drooling over the current deals they're running on these?,Anyone else drooling over the current deals they're running on these?,[],"['running', 'current']",0.0,Neutral
49,iueGI4CzP-0,aged like milk,aged like milk,[],['like'],0.3612,Positive
50,iueGI4CzP-0,"Took delivery on 3/15. 2025 Stealth Grey, Black interior, 18"" Photon wheels. Upgraded from Focus St manual as a pure commuter. 0% financing was the carrot! Will never go back to gas commuter again!","Took delivery on 3/15. 2025 Stealth Grey, Black interior, 18"" Photon wheels. Upgraded from Focus St manual as a pure commuter. 0% financing was the carrot! Will never go back to gas commuter again!",[],"['commuter', 'stealth grey', 'pure', 'stealth', 'took delivery']",-0.1739,Negative
51,iueGI4CzP-0,40k for a base model is bonkers. These cars really need to get closer to 30k before incentives. Even with incentives these cars have a hard time selling. Imagine if the incentives disappear,40k for a base model is bonkers. These cars really need to get closer to 30k before incentives. Even with incentives these cars have a hard time selling. Imagine if the incentives disappear,[],"['incentives', 'hard time', 'cars', 'really need', 'closer']",0.5574,Positive
52,iueGI4CzP-0,Model y glass roof is continuous,Model y glass roof is continuous,[],"['continuous', 'model glass', 'glass roof', 'roof', 'glass']",0.0,Neutral
53,iueGI4CzP-0,"I’m really good I went for a test drive for it and I really loved it. Wish I could afford it. Hopefully, I get one day but thanks for the video. Hopefully, I’ll stay informed with the rest of your videos.👍🏾","I’m really good I went for a test drive for it and I really loved it. Wish I could afford it. Hopefully, I get one day but thanks for the video. Hopefully, I’ll stay informed with the rest of your videos.👍🏾",[],"['hopefully', 'll stay', 'wish afford', 'really', 'thanks video']",0.9316,Positive
54,iueGI4CzP-0,"UPDATE (MARCH 4 2025) - For the Model 3 in the US, Tesla just introduced 0% Financing and $500 off when using a Tesla Referral -- mine is available right when you land on my page! 🙂","UPDATE (MARCH 4 2025) - For the Model 3 in the US, Tesla just introduced 0% Financing and $500 off when using a Tesla Referral -- mine is available right when you land on my page! 🙂",['Tesla'],"['2025 model', 'available right', 'using tesla', 'land', 'tesla referral']",0.4587,Positive
55,iueGI4CzP-0,"""starter ev""?  Wow ""influencers"" do not have a clue how the average person lives.  How is this a ""starter"" ev?  Is one that costs a mere million one for the average person and a model 3 is for the ""poors""?  You are not royalty man. Not everyone has millions in their bank account.","""starter ev""? Wow ""influencers"" do not have a clue how the average person lives. How is this a ""starter"" ev? Is one that costs a mere million one for the average person and a model 3 is for the ""poors""? You are not royalty man. Not everyone has millions in their bank account.",[],"['average', 'person', 'starter ev', 'starter', 'influencers']",0.6531,Positive
56,iueGI4CzP-0,You can use this car to speed through school zones!,You can use this car to speed through school zones!,[],"['car speed', 'school', 'speed', 'use', 'car']",0.0,Neutral
57,iueGI4CzP-0,"No stalks is a dealbreaker for European drivers, such a shame cos it’s a nice car","No stalks is a dealbreaker for European drivers, such a shame cos it’s a nice car",['European'],"['cos', 'stalks dealbreaker', 'nice car', 'european', 'dealbreaker']",-0.3612,Negative
58,iueGI4CzP-0,Starter my ass. There’s no such thing as a starter EV. All of them are expensive and all of them do the same thing.,Starter my ass. There’s no such thing as a starter EV. All of them are expensive and all of them do the same thing.,[],"['starter', 'thing', 'thing starter', 'ass', 'expensive']",-0.6908,Negative
59,iueGI4CzP-0,"My favorite part of these cars is the simplicity, I don't like all the curves and bottoms etc.","My favorite part of these cars is the simplicity, I don't like all the curves and bottoms etc.",[],"['simplicity', 'favorite', 'don like', 'cars', 'don']",0.224,Positive
60,iueGI4CzP-0,Had a 2020 model 3 but someone ran a stop sign at a high speed and got me totaling the tesla. Now I am in recovery with nerve damage in the right hand. Getting a new tesla is going to be fun. But am going to miss the 2020 model 3 it was amazing,Had a 2020 model 3 but someone ran a stop sign at a high speed and got me totaling the tesla. Now I am in recovery with nerve damage in the right hand. Getting a new tesla is going to be fun. But am going to miss the 2020 model 3 it was amazing,[],"['2020 model', '2020', 'going', 'tesla going', 'high speed']",0.7876,Positive
61,iueGI4CzP-0,Ultrared or QuickSilver?,Ultrared or QuickSilver?,['QuickSilver'],['quicksilver'],0.0,Neutral
62,iueGI4CzP-0,Amazon delivery vehicles have better seats than teslas my only complaint,Amazon delivery vehicles have better seats than teslas my only complaint,['Amazon'],"['complaint', 'delivery', 'vehicles', 'seats', 'teslas']",0.34,Positive
63,iueGI4CzP-0,"Who’s watching this after Elon unfollowed & blocked Marques, for selling his Cybertruck?","Who’s watching this after Elon unfollowed & blocked Marques, for selling his Cybertruck?","['Elon unfollowed & blocked Marques', 'Cybertruck']","['selling', 'cybertruck', 'watching', 'marques', 'elon']",-0.2732,Negative
64,iueGI4CzP-0,"We are planning to order this car, but here’s the crazy part, we have to buy it in Europe because we live here. As I observed, the basic option in the US is $29,999, while the basic option here in the EU is €40,000. Considering that the euro is stronger than the dollar, Tesla is effectively selling the same car 36.53% more expensive in less wealthy countries compared to the US.

Can someone please explain this to me? We even have a Tesla factory here in Berlin!","We are planning to order this car, but here’s the crazy part, we have to buy it in Europe because we live here. As I observed, the basic option in the US is $29,999, while the basic option here in the EU is €40,000. Considering that the euro is stronger than the dollar, Tesla is effectively selling the same car 36.53% more expensive in less wealthy countries compared to the US. Can someone please explain this to me? We even have a Tesla factory here in Berlin!","['Europe', 'Tesla', 'Berlin']","['basic', 'option', '999', 'order car', 'stronger']",0.8807,Positive
65,iueGI4CzP-0,"Curious to see the statistics about how many people stopped using the signals because of this change? And on average, how much slower are people shifting gears in tight spots while parking... Anyone has any opinions?","Curious to see the statistics about how many people stopped using the signals because of this change? And on average, how much slower are people shifting gears in tight spots while parking... Anyone has any opinions?",[],"['people', 'spots', 'opinions', 'shifting', 'stopped']",0.1926,Positive
66,iueGI4CzP-0,You skipped on the biggest update to this car which is the battery upgrade and what it means for day to day use and longevity,You skipped on the biggest update to this car which is the battery upgrade and what it means for day to day use and longevity,[],"['day', 'longevity', 'car battery', 'update car', 'day day']",0.0,Neutral
67,iueGI4CzP-0,That guy waves his hands more than a sign language interpreter at a rock concert.,That guy waves his hands more than a sign language interpreter at a rock concert.,[],"['rock', 'language', 'sign', 'hands', 'guy']",0.0,Neutral
68,iueGI4CzP-0,2:49 subtle cost cutting?,2:49 subtle cost cutting?,[],"['49', 'subtle', 'cost cutting', 'cutting', 'cost']",-0.128,Negative
69,iueGI4CzP-0,2.9 million views 10 months ago. Just got mine.,2.9 million views 10 months ago. Just got mine.,[],"['months ago', 'million', 'views', 'just got', 'months']",0.0,Neutral
70,iueGI4CzP-0,Can you buy me a Tesla model 3,Can you buy me a Tesla model 3,['Tesla'],"['buy tesla', 'tesla model', 'buy', 'model', 'tesla']",0.0,Neutral
71,iueGI4CzP-0,Watching this in my 2004 acura tl🥲,Watching this in my 2004 acura tl🥲,['tl🥲'],['watching'],0.0,Neutral
72,iueGI4CzP-0,that entire tail light is dangerous especially when your in a highway and ur trunk is open to some tools.,that entire tail light is dangerous especially when your in a highway and ur trunk is open to some tools.,[],"['tools', 'tail light', 'entire', 'ur', 'highway']",-0.4767,Negative
73,iueGI4CzP-0,Is there anything this dude can't review? Very well done,Is there anything this dude can't review? Very well done,[],"['dude', 'review']",-0.2572,Negative
74,iueGI4CzP-0,"Hello friend, I enjoyed this video, thank you. I would really like to test drive the Tiba car. ❤❤","Hello friend, I enjoyed this video, thank you. I would really like to test drive the Tiba car. ❤❤",['Tiba'],"['thank really', 'enjoyed video', 'video thank', 'hello', 'enjoyed']",0.9647,Positive
75,iueGI4CzP-0,Can you turn off the regenerating braking thing ?,Can you turn off the regenerating braking thing ?,[],"['braking', 'turn', 'thing']",0.0,Neutral
76,iueGI4CzP-0,"Mahindra Xev 6e better than tesla in price and performance,👍","Mahindra Xev 6e better than tesla in price and performance,👍",['Mahindra Xev 6e'],"['tesla price', 'better tesla', 'price performance', 'price', 'performance']",0.4404,Positive
77,iueGI4CzP-0,"I have an F250 as a work truck but driving that thing around for non-work (no trailer) is not ideal (rough suspension and not generous on gas). 

When I get the money together for a daily driver (for grocery trips and leisure road trips) this is definitely going to be in the running. Essentially ""zero"" maintenance + luxury features at a great price are the main selling points for me. Tesla knocked it out of the park with this update!","I have an F250 as a work truck but driving that thing around for non-work (no trailer) is not ideal (rough suspension and not generous on gas). When I get the money together for a daily driver (for grocery trips and leisure road trips) this is definitely going to be in the running. Essentially ""zero"" maintenance + luxury features at a great price are the main selling points for me. Tesla knocked it out of the park with this update!",[],"['trips', 'work', 'great price', 'road trips', 'essentially']",0.5065,Positive
78,iueGI4CzP-0,That is an awesome tesla. I would not mind having one,That is an awesome tesla. I would not mind having one,[],"['mind', 'awesome', 'having', 'tesla']",0.6249,Positive
79,iueGI4CzP-0,You are a very depressed person who hates your life and everyone around you,You are a very depressed person who hates your life and everyone around you,[],"['life', 'person']",-0.7574,Negative
80,iueGI4CzP-0,Model 3 or Ioniq 5?,Model 3 or Ioniq 5?,[],"['model ioniq', 'ioniq', 'model']",0.0,Neutral
81,iueGI4CzP-0,"which is the best car between a bow i8 or a Tesla model 3 

🤔",which is the best car between a bow i8 or a Tesla model 3 🤔,['Tesla'],"['best car', 'tesla model', 'best', 'model', 'car']",0.6369,Positive
82,iueGI4CzP-0,"Love your Review of this vehicle. It is a lot like mine 2025. It’s not the performance model but for an 80-year-old black, gay man it performs enough for me.","Love your Review of this vehicle. It is a lot like mine 2025. It’s not the performance model but for an 80-year-old black, gay man it performs enough for me.",[],"['lot like', 'love review', '80', 'year old', '2025']",0.5187,Positive
83,iueGI4CzP-0,What is the red light on the door for ?,What is the red light on the door for ?,[],"['red light', 'light', 'door', 'red']",0.0,Neutral
84,iueGI4CzP-0,Is there rattle in your car?,Is there rattle in your car?,[],['car'],0.0,Neutral
85,iueGI4CzP-0,How is the gear selection screen so long? mine is only a fraction of that vertical length. Was this changed from an update or can I manually select it in the menu somewhere?,How is the gear selection screen so long? mine is only a fraction of that vertical length. Was this changed from an update or can I manually select it in the menu somewhere?,[],"['gear selection', 'vertical', 'length', 'menu', 'select']",0.0,Neutral
86,iueGI4CzP-0,i love this car :),i love this car :),[],"['love car', 'love', 'car']",0.802,Positive
87,iueGI4CzP-0,Sure the BYD made the Tesla designers and engineers wake up. You should travel outside the US and test out a BYD and some other Chinese EV's and give us your opinion. Cause you have a lot of experience in cars and EV's you would really be able to give us your unbiased opinion. Give it a though Sir 🙂.,Sure the BYD made the Tesla designers and engineers wake up. You should travel outside the US and test out a BYD and some other Chinese EV's and give us your opinion. Cause you have a lot of experience in cars and EV's you would really be able to give us your unbiased opinion. Give it a though Sir 🙂.,"['BYD', 'Tesla', 'Chinese']","['opinion', 'byd', 'designers', 'unbiased', 'wake']",0.6003,Positive
88,iueGI4CzP-0,GREAT JOB ON REVIEWING THIS CAR,GREAT JOB ON REVIEWING THIS CAR,['GREAT JOB ON REVIEWING'],"['reviewing car', 'great job', 'reviewing', 'job', 'great']",0.6249,Positive
89,iueGI4CzP-0,"Just got the 2025, very creature comfort heavy. Auto Bright Lights, simple yet amazing.","Just got the 2025, very creature comfort heavy. Auto Bright Lights, simple yet amazing.",['Bright Lights'],"['heavy', 'bright', 'comfort', 'simple', '2025']",0.8583,Positive
90,iueGI4CzP-0,"Tesla stock dipped severally , resulting to about 23% drop in the shares value this month. I seriously need suggestions on how to diversify my $400k portfolio made up of volatile TSLA.","Tesla stock dipped severally , resulting to about 23% drop in the shares value this month. I seriously need suggestions on how to diversify my $400k portfolio made up of volatile TSLA.",[],"['resulting', 'shares', 'tsla', 'suggestions', 'portfolio']",0.2023,Positive
91,iueGI4CzP-0,Damn people talk about heated seats in the Back? We got massaged and heated seats on the back of a 2015 Nissan Leaf Prince model!,Damn people talk about heated seats in the Back? We got massaged and heated seats on the back of a 2015 Nissan Leaf Prince model!,[],"['heated seats', 'heated', 'seats', 'nissan leaf', 'leaf']",-0.4574,Negative
92,iueGI4CzP-0,i kno i been lookin forward to it!,i kno i been lookin forward to it!,[],['forward'],0.0,Neutral
93,iueGI4CzP-0,"Can`t wait to get mine, I ordered one a week ago and hope to get it in a few weeks. I`ve got the long range but RWD since I do not need the AWD and enhanced audio system. :)","Can`t wait to get mine, I ordered one a week ago and hope to get it in a few weeks. I`ve got the long range but RWD since I do not need the AWD and enhanced audio system. :)","['RWD', 'AWD']","['audio', 'week ago', 'enhanced', 've got', 'awd']",0.714,Positive
94,iueGI4CzP-0,no sunroof ?  i cant believe people spend money on this car. lol,no sunroof ? i cant believe people spend money on this car. lol,[],"['spend money', 'sunroof', 'car lol', 'spend', 'believe']",0.1531,Positive
95,iueGI4CzP-0,I AM GOING WITH THE EV6 BECAUSE OF ELON'S POLITICAL BEHAVIOR.,I AM GOING WITH THE EV6 BECAUSE OF ELON'S POLITICAL BEHAVIOR.,[],"['political', 'ev6', 'going', 'elon']",0.0,Neutral
96,iueGI4CzP-0,The tesla glazer impressed whose surprised,The tesla glazer impressed whose surprised,[],"['surprised', 'impressed', 'tesla']",0.6124,Positive
97,iueGI4CzP-0,Is there really worth 180k sgd….,Is there really worth 180k sgd….,[],"['worth', 'really']",0.2944,Positive
98,iueGI4CzP-0,Only tech guy I trust for a car review,Only tech guy I trust for a car review,[],"['trust', 'car review', 'guy', 'tech', 'review']",0.5106,Positive
99,iueGI4CzP-0,not the black interior 😭,not the black interior 😭,[],"['black interior', 'black', 'interior']",-0.4767,Negative
100,iueGI4CzP-0,"After test driving the Highland, I had to have it and trading in my 2023 standard range.  My AWD Dual Motor is quieter, quicker, and a better experience all around.","After test driving the Highland, I had to have it and trading in my 2023 standard range. My AWD Dual Motor is quieter, quicker, and a better experience all around.","['Highland', 'AWD Dual Motor']","['test driving', 'range awd', 'standard range', 'trading', 'quicker']",0.4404,Positive
101,iueGI4CzP-0,dudes reviewing the long range version instead of the performance version LMAO shows how much tesla cares about his review,dudes reviewing the long range version instead of the performance version LMAO shows how much tesla cares about his review,[],"['version', 'shows tesla', 'range version', 'dudes', 'shows']",0.824,Positive
102,iueGI4CzP-0,Usability of this car is crap. Turn signals on the wheel?! When you turn the wheel you will get the turn signals inverted! Driving mode on the ceiling?! Just wish Tesla didn't try to reinvent the wheel on some things :(,Usability of this car is crap. Turn signals on the wheel?! When you turn the wheel you will get the turn signals inverted! Driving mode on the ceiling?! Just wish Tesla didn't try to reinvent the wheel on some things :(,['Tesla'],"['wheel turn', 'turn', 'wheel', 'turn signals', 'signals']",-0.6169,Negative
103,iueGI4CzP-0,Teslas have become the modern Ford Taurus due to style stagnation. X and Y the puffy cars of the 80s.,Teslas have become the modern Ford Taurus due to style stagnation. X and Y the puffy cars of the 80s.,"['Teslas', 'Ford', 'Taurus']","['modern', 'ford', 'style', 'teslas', 'cars']",0.0,Neutral
